NewsID,Date,Symbol,Headline,Source,SentimentLabel
1,2023-01-02,AAPL,AAPL board approves routine dividend payment,Reuters,Neutral
2,2023-01-02,AMZN,AMZN shares slide on supply chain concerns,Bloomberg,Negative
3,2023-01-02,JNJ,JNJ announces new product launch to strong demand,Reuters,Positive
4,2023-01-03,CVX,Analysts downgrade CVX citing weak outlook,MarketWatch,Negative
5,2023-01-04,JPM,JPM completes previously announced share buyback,Financial Times,Neutral
6,2023-01-05,JNJ,JNJ reports record profit margins this quarter,Reuters,Positive
7,2023-01-06,AAPL,AAPL announces new product launch to strong demand,Reuters,Positive
8,2023-01-06,AMZN,AMZN shares slide on supply chain concerns,CNBC,Negative
9,2023-01-06,JNJ,JNJ beats quarterly earnings expectations,MarketWatch,Positive
10,2023-01-09,AAPL,AAPL announces new product launch to strong demand,Reuters,Positive
11,2023-01-09,PFE,Analysts upgrade PFE on strong revenue growth,Bloomberg,Positive
12,2023-01-10,CVX,CVX shares rally after positive guidance,Financial Times,Positive
13,2023-01-11,AAPL,Analysts upgrade AAPL on strong revenue growth,Reuters,Positive
14,2023-01-11,BAC,BAC schedules quarterly earnings call,MarketWatch,Neutral
15,2023-01-12,AAPL,AAPL board approves routine dividend payment,MarketWatch,Neutral
16,2023-01-12,JNJ,Market watchers await JNJ earnings report,CNBC,Neutral
17,2023-01-17,GOOGL,GOOGL shares rally after positive guidance,Reuters,Positive
18,2023-01-18,AMZN,AMZN schedules quarterly earnings call,Bloomberg,Neutral
19,2023-01-19,JPM,JPM reports record profit margins this quarter,CNBC,Positive
20,2023-01-19,XOM,XOM announces layoffs amid cost-cutting drive,CNBC,Negative
21,2023-01-23,JPM,JPM faces regulatory scrutiny over practices,MarketWatch,Negative
22,2023-01-24,MSFT,MSFT board approves routine dividend payment,Reuters,Neutral
23,2023-01-24,GOOGL,GOOGL announces new product launch to strong demand,Financial Times,Positive
24,2023-01-24,JPM,JPM schedules quarterly earnings call,MarketWatch,Neutral
25,2023-01-24,BAC,BAC faces regulatory scrutiny over practices,Reuters,Negative
26,2023-01-25,GOOGL,GOOGL beats quarterly earnings expectations,Financial Times,Positive
27,2023-01-25,JPM,JPM reports record profit margins this quarter,MarketWatch,Positive
28,2023-01-25,BAC,"BAC misses earnings estimates, shares fall",Reuters,Negative
29,2023-01-25,CVX,CVX completes previously announced share buyback,Reuters,Neutral
30,2023-01-26,JPM,JPM faces regulatory scrutiny over practices,CNBC,Negative
31,2023-01-26,JNJ,"JNJ misses earnings estimates, shares fall",Financial Times,Negative
32,2023-01-27,BAC,BAC beats quarterly earnings expectations,Reuters,Positive
33,2023-01-30,MSFT,MSFT announces new product launch to strong demand,MarketWatch,Positive
34,2023-01-30,GOOGL,GOOGL completes previously announced share buyback,Financial Times,Neutral
35,2023-01-30,XOM,XOM announces layoffs amid cost-cutting drive,CNBC,Negative
36,2023-01-31,XOM,Market watchers await XOM earnings report,Financial Times,Neutral
37,2023-01-31,CVX,CVX shares slide on supply chain concerns,CNBC,Negative
38,2023-02-01,AAPL,Analysts downgrade AAPL citing weak outlook,Reuters,Negative
39,2023-02-02,AAPL,AAPL announces layoffs amid cost-cutting drive,MarketWatch,Negative
40,2023-02-02,CVX,CVX announces new product launch to strong demand,CNBC,Positive
41,2023-02-02,JNJ,JNJ schedules quarterly earnings call,Bloomberg,Neutral
42,2023-02-03,XOM,XOM beats quarterly earnings expectations,Financial Times,Positive
43,2023-02-06,MSFT,MSFT to present at industry conference next week,Financial Times,Neutral
44,2023-02-06,XOM,XOM board approves routine dividend payment,CNBC,Neutral
45,2023-02-07,PFE,Analysts upgrade PFE on strong revenue growth,Bloomberg,Positive
46,2023-02-08,MSFT,Analysts upgrade MSFT on strong revenue growth,Financial Times,Positive
47,2023-02-08,AMZN,AMZN schedules quarterly earnings call,Bloomberg,Neutral
48,2023-02-09,AAPL,AAPL announces new product launch to strong demand,Bloomberg,Positive
49,2023-02-10,BAC,BAC shares rally after positive guidance,CNBC,Positive
50,2023-02-14,AMZN,Market watchers await AMZN earnings report,MarketWatch,Neutral
51,2023-02-14,PFE,Market watchers await PFE earnings report,MarketWatch,Neutral
52,2023-02-15,CVX,CVX shares slide on supply chain concerns,MarketWatch,Negative
53,2023-02-16,GOOGL,GOOGL faces regulatory scrutiny over practices,Financial Times,Negative
54,2023-02-16,JPM,JPM announces layoffs amid cost-cutting drive,Reuters,Negative
55,2023-02-16,BAC,BAC shares rally after positive guidance,Bloomberg,Positive
56,2023-02-16,CVX,CVX shares rally after positive guidance,CNBC,Positive
57,2023-02-17,AAPL,Analysts upgrade AAPL on strong revenue growth,CNBC,Positive
58,2023-02-21,MSFT,MSFT announces new product launch to strong demand,Financial Times,Positive
59,2023-02-21,BAC,Market watchers await BAC earnings report,CNBC,Neutral
60,2023-02-22,PFE,Analysts upgrade PFE on strong revenue growth,Bloomberg,Positive
61,2023-02-23,XOM,XOM board approves routine dividend payment,Reuters,Neutral
62,2023-02-28,AAPL,AAPL announces layoffs amid cost-cutting drive,MarketWatch,Negative
63,2023-03-01,JPM,JPM completes previously announced share buyback,MarketWatch,Neutral
64,2023-03-01,CVX,Market watchers await CVX earnings report,CNBC,Neutral
65,2023-03-03,XOM,XOM to present at industry conference next week,MarketWatch,Neutral
66,2023-03-03,PFE,PFE shares rally after positive guidance,Bloomberg,Positive
67,2023-03-06,MSFT,MSFT reports record profit margins this quarter,Bloomberg,Positive
68,2023-03-07,XOM,XOM announces new product launch to strong demand,Reuters,Positive
69,2023-03-07,CVX,CVX announces new product launch to strong demand,Bloomberg,Positive
70,2023-03-09,AMZN,AMZN shares slide on supply chain concerns,Reuters,Negative
71,2023-03-14,JPM,JPM announces new product launch to strong demand,Financial Times,Positive
72,2023-03-16,JPM,JPM schedules quarterly earnings call,Financial Times,Neutral
73,2023-03-20,CVX,CVX completes previously announced share buyback,MarketWatch,Neutral
74,2023-03-21,BAC,BAC faces regulatory scrutiny over practices,Bloomberg,Negative
75,2023-03-22,XOM,Analysts downgrade XOM citing weak outlook,MarketWatch,Negative
76,2023-03-23,XOM,XOM beats quarterly earnings expectations,Bloomberg,Positive
77,2023-03-28,MSFT,MSFT shares rally after positive guidance,MarketWatch,Positive
78,2023-03-28,GOOGL,GOOGL shares slide on supply chain concerns,Reuters,Negative
79,2023-03-29,CVX,CVX to present at industry conference next week,Financial Times,Neutral
80,2023-03-31,BAC,BAC completes previously announced share buyback,Reuters,Neutral
81,2023-03-31,JNJ,JNJ board approves routine dividend payment,CNBC,Neutral
82,2023-04-03,XOM,Market watchers await XOM earnings report,Financial Times,Neutral
83,2023-04-03,JNJ,Analysts downgrade JNJ citing weak outlook,CNBC,Negative
84,2023-04-04,BAC,Market watchers await BAC earnings report,Bloomberg,Neutral
85,2023-04-05,GOOGL,GOOGL shares slide on supply chain concerns,Reuters,Negative
86,2023-04-05,JNJ,JNJ completes previously announced share buyback,CNBC,Neutral
87,2023-04-10,BAC,BAC beats quarterly earnings expectations,CNBC,Positive
88,2023-04-10,PFE,PFE shares slide on supply chain concerns,MarketWatch,Negative
89,2023-04-11,BAC,BAC shares rally after positive guidance,Bloomberg,Positive
90,2023-04-11,XOM,XOM announces layoffs amid cost-cutting drive,MarketWatch,Negative
91,2023-04-11,CVX,"CVX misses earnings estimates, shares fall",Financial Times,Negative
92,2023-04-13,MSFT,MSFT completes previously announced share buyback,Bloomberg,Neutral
93,2023-04-14,AMZN,AMZN faces regulatory scrutiny over practices,Reuters,Negative
94,2023-04-14,BAC,BAC announces layoffs amid cost-cutting drive,CNBC,Negative
95,2023-04-17,CVX,CVX schedules quarterly earnings call,CNBC,Neutral
96,2023-04-17,JNJ,Analysts downgrade JNJ citing weak outlook,Financial Times,Negative
97,2023-04-18,JPM,JPM board approves routine dividend payment,MarketWatch,Neutral
98,2023-04-19,MSFT,MSFT reports record profit margins this quarter,Financial Times,Positive
99,2023-04-19,AMZN,AMZN shares slide on supply chain concerns,MarketWatch,Negative
100,2023-04-20,MSFT,Analysts upgrade MSFT on strong revenue growth,Bloomberg,Positive
101,2023-04-21,AAPL,AAPL completes previously announced share buyback,Reuters,Neutral
102,2023-04-21,PFE,PFE shares rally after positive guidance,CNBC,Positive
103,2023-04-24,JNJ,JNJ announces new product launch to strong demand,Reuters,Positive
104,2023-04-26,GOOGL,"GOOGL misses earnings estimates, shares fall",MarketWatch,Negative
105,2023-04-26,BAC,BAC completes previously announced share buyback,Bloomberg,Neutral
106,2023-04-26,XOM,XOM to present at industry conference next week,Bloomberg,Neutral
107,2023-04-26,PFE,Analysts upgrade PFE on strong revenue growth,Bloomberg,Positive
108,2023-05-01,XOM,XOM faces regulatory scrutiny over practices,Reuters,Negative
109,2023-05-03,AAPL,Market watchers await AAPL earnings report,CNBC,Neutral
110,2023-05-04,MSFT,MSFT announces new product launch to strong demand,Financial Times,Positive
111,2023-05-04,JPM,Analysts upgrade JPM on strong revenue growth,Reuters,Positive
112,2023-05-04,BAC,Analysts upgrade BAC on strong revenue growth,Bloomberg,Positive
113,2023-05-04,XOM,"XOM misses earnings estimates, shares fall",Reuters,Negative
114,2023-05-05,JPM,JPM faces regulatory scrutiny over practices,Financial Times,Negative
115,2023-05-10,MSFT,MSFT reports record profit margins this quarter,Reuters,Positive
116,2023-05-10,BAC,Analysts downgrade BAC citing weak outlook,MarketWatch,Negative
117,2023-05-10,XOM,XOM faces regulatory scrutiny over practices,Financial Times,Negative
118,2023-05-10,JNJ,JNJ faces regulatory scrutiny over practices,Reuters,Negative
119,2023-05-11,XOM,XOM shares rally after positive guidance,Bloomberg,Positive
120,2023-05-12,JPM,JPM to present at industry conference next week,Reuters,Neutral
121,2023-05-15,PFE,PFE beats quarterly earnings expectations,Reuters,Positive
122,2023-05-16,MSFT,MSFT shares rally after positive guidance,Bloomberg,Positive
123,2023-05-16,PFE,PFE announces layoffs amid cost-cutting drive,Reuters,Negative
124,2023-05-19,AMZN,AMZN shares rally after positive guidance,MarketWatch,Positive
125,2023-05-19,CVX,CVX shares slide on supply chain concerns,Reuters,Negative
126,2023-05-23,CVX,CVX schedules quarterly earnings call,Bloomberg,Neutral
127,2023-05-24,AAPL,Market watchers await AAPL earnings report,Reuters,Neutral
128,2023-05-25,JNJ,Analysts downgrade JNJ citing weak outlook,Bloomberg,Negative
129,2023-05-26,BAC,BAC faces regulatory scrutiny over practices,Financial Times,Negative
130,2023-05-26,CVX,Market watchers await CVX earnings report,CNBC,Neutral
131,2023-05-30,CVX,CVX announces new product launch to strong demand,Financial Times,Positive
132,2023-05-31,GOOGL,GOOGL shares slide on supply chain concerns,Reuters,Negative
133,2023-05-31,AMZN,"AMZN misses earnings estimates, shares fall",Financial Times,Negative
134,2023-06-01,GOOGL,GOOGL faces regulatory scrutiny over practices,Bloomberg,Negative
135,2023-06-02,AAPL,AAPL shares slide on supply chain concerns,MarketWatch,Negative
136,2023-06-02,MSFT,Market watchers await MSFT earnings report,Financial Times,Neutral
137,2023-06-02,BAC,Analysts upgrade BAC on strong revenue growth,Bloomberg,Positive
138,2023-06-02,JNJ,JNJ board approves routine dividend payment,Reuters,Neutral
139,2023-06-02,PFE,PFE shares slide on supply chain concerns,Reuters,Negative
140,2023-06-05,JPM,JPM faces regulatory scrutiny over practices,Bloomberg,Negative
141,2023-06-05,BAC,BAC reports record profit margins this quarter,CNBC,Positive
142,2023-06-05,PFE,Analysts upgrade PFE on strong revenue growth,CNBC,Positive
143,2023-06-06,PFE,PFE shares slide on supply chain concerns,CNBC,Negative
144,2023-06-07,MSFT,MSFT shares rally after positive guidance,Financial Times,Positive
145,2023-06-07,CVX,Market watchers await CVX earnings report,Financial Times,Neutral
146,2023-06-08,AMZN,Market watchers await AMZN earnings report,Bloomberg,Neutral
147,2023-06-09,XOM,XOM faces regulatory scrutiny over practices,Financial Times,Negative
148,2023-06-12,CVX,CVX completes previously announced share buyback,Bloomberg,Neutral
149,2023-06-14,AAPL,AAPL beats quarterly earnings expectations,MarketWatch,Positive
150,2023-06-14,AMZN,AMZN announces new product launch to strong demand,Reuters,Positive
151,2023-06-14,CVX,CVX beats quarterly earnings expectations,Reuters,Positive
152,2023-06-15,AMZN,AMZN reports record profit margins this quarter,CNBC,Positive
153,2023-06-16,AAPL,AAPL faces regulatory scrutiny over practices,Bloomberg,Negative
154,2023-06-16,JNJ,Analysts upgrade JNJ on strong revenue growth,Reuters,Positive
155,2023-06-19,CVX,CVX announces layoffs amid cost-cutting drive,Financial Times,Negative
156,2023-06-20,GOOGL,GOOGL board approves routine dividend payment,Reuters,Neutral
157,2023-06-20,XOM,XOM reports record profit margins this quarter,CNBC,Positive
158,2023-06-21,AAPL,AAPL announces new product launch to strong demand,Reuters,Positive
159,2023-06-21,GOOGL,GOOGL shares rally after positive guidance,MarketWatch,Positive
160,2023-06-23,BAC,BAC beats quarterly earnings expectations,Financial Times,Positive
161,2023-06-23,XOM,XOM to present at industry conference next week,Reuters,Neutral
162,2023-06-26,JPM,JPM beats quarterly earnings expectations,Financial Times,Positive
163,2023-06-26,XOM,XOM announces layoffs amid cost-cutting drive,Bloomberg,Negative
164,2023-06-28,GOOGL,"GOOGL misses earnings estimates, shares fall",Bloomberg,Negative
165,2023-06-28,JNJ,JNJ beats quarterly earnings expectations,MarketWatch,Positive
166,2023-06-29,AAPL,AAPL reports record profit margins this quarter,Reuters,Positive
167,2023-06-29,MSFT,MSFT faces regulatory scrutiny over practices,Bloomberg,Negative
168,2023-06-29,GOOGL,Analysts upgrade GOOGL on strong revenue growth,Reuters,Positive
169,2023-06-29,BAC,Analysts downgrade BAC citing weak outlook,CNBC,Negative
170,2023-06-29,PFE,Analysts downgrade PFE citing weak outlook,Reuters,Negative
171,2023-06-30,AMZN,AMZN schedules quarterly earnings call,Bloomberg,Neutral
172,2023-07-03,JNJ,JNJ to present at industry conference next week,Reuters,Neutral
173,2023-07-04,GOOGL,GOOGL announces layoffs amid cost-cutting drive,CNBC,Negative
174,2023-07-05,MSFT,MSFT announces new product launch to strong demand,Reuters,Positive
175,2023-07-05,JPM,Market watchers await JPM earnings report,CNBC,Neutral
176,2023-07-06,GOOGL,GOOGL announces new product launch to strong demand,Bloomberg,Positive
177,2023-07-06,CVX,CVX announces layoffs amid cost-cutting drive,Financial Times,Negative
178,2023-07-10,MSFT,MSFT shares slide on supply chain concerns,Reuters,Negative
179,2023-07-10,BAC,BAC completes previously announced share buyback,Reuters,Neutral
180,2023-07-11,AMZN,AMZN announces new product launch to strong demand,MarketWatch,Positive
181,2023-07-13,JNJ,JNJ announces layoffs amid cost-cutting drive,Bloomberg,Negative
182,2023-07-14,AMZN,AMZN shares rally after positive guidance,Financial Times,Positive
183,2023-07-14,JPM,Analysts downgrade JPM citing weak outlook,Bloomberg,Negative
184,2023-07-17,MSFT,Market watchers await MSFT earnings report,MarketWatch,Neutral
185,2023-07-17,JNJ,Analysts upgrade JNJ on strong revenue growth,Bloomberg,Positive
186,2023-07-17,PFE,Analysts upgrade PFE on strong revenue growth,CNBC,Positive
187,2023-07-18,AAPL,AAPL beats quarterly earnings expectations,Reuters,Positive
188,2023-07-18,CVX,CVX shares rally after positive guidance,Reuters,Positive
189,2023-07-19,BAC,BAC schedules quarterly earnings call,Reuters,Neutral
190,2023-07-20,AAPL,AAPL announces new product launch to strong demand,MarketWatch,Positive
191,2023-07-20,MSFT,MSFT announces new product launch to strong demand,Financial Times,Positive
192,2023-07-20,CVX,Market watchers await CVX earnings report,Bloomberg,Neutral
193,2023-07-21,BAC,BAC board approves routine dividend payment,CNBC,Neutral
194,2023-07-21,PFE,PFE announces layoffs amid cost-cutting drive,Reuters,Negative
195,2023-07-26,CVX,CVX board approves routine dividend payment,Financial Times,Neutral
196,2023-07-26,JNJ,JNJ to present at industry conference next week,CNBC,Neutral
197,2023-07-27,AMZN,AMZN completes previously announced share buyback,Financial Times,Neutral
198,2023-07-27,BAC,"BAC misses earnings estimates, shares fall",CNBC,Negative
199,2023-07-28,XOM,XOM reports record profit margins this quarter,MarketWatch,Positive
200,2023-07-28,JNJ,Analysts downgrade JNJ citing weak outlook,Financial Times,Negative
201,2023-07-31,MSFT,Analysts downgrade MSFT citing weak outlook,CNBC,Negative
202,2023-08-01,MSFT,"MSFT misses earnings estimates, shares fall",CNBC,Negative
203,2023-08-02,AAPL,"AAPL misses earnings estimates, shares fall",MarketWatch,Negative
204,2023-08-03,JNJ,JNJ to present at industry conference next week,Bloomberg,Neutral
205,2023-08-04,JNJ,Analysts upgrade JNJ on strong revenue growth,Reuters,Positive
206,2023-08-07,CVX,CVX to present at industry conference next week,Bloomberg,Neutral
207,2023-08-08,JNJ,JNJ announces new product launch to strong demand,MarketWatch,Positive
208,2023-08-10,BAC,"BAC misses earnings estimates, shares fall",CNBC,Negative
209,2023-08-11,AMZN,AMZN completes previously announced share buyback,Reuters,Neutral
210,2023-08-14,AAPL,AAPL completes previously announced share buyback,Bloomberg,Neutral
211,2023-08-14,MSFT,MSFT reports record profit margins this quarter,MarketWatch,Positive
212,2023-08-14,PFE,PFE beats quarterly earnings expectations,Reuters,Positive
213,2023-08-15,JNJ,JNJ announces layoffs amid cost-cutting drive,Reuters,Negative
214,2023-08-21,XOM,XOM schedules quarterly earnings call,Financial Times,Neutral
215,2023-08-22,AMZN,AMZN beats quarterly earnings expectations,CNBC,Positive
216,2023-08-23,AMZN,AMZN faces regulatory scrutiny over practices,CNBC,Negative
217,2023-08-23,BAC,"BAC misses earnings estimates, shares fall",CNBC,Negative
218,2023-08-23,PFE,PFE to present at industry conference next week,MarketWatch,Neutral
219,2023-08-24,GOOGL,GOOGL shares rally after positive guidance,MarketWatch,Positive
220,2023-08-25,BAC,BAC schedules quarterly earnings call,MarketWatch,Neutral
221,2023-08-30,GOOGL,GOOGL beats quarterly earnings expectations,Bloomberg,Positive
222,2023-08-30,JPM,JPM completes previously announced share buyback,CNBC,Neutral
223,2023-08-30,CVX,"CVX misses earnings estimates, shares fall",Bloomberg,Negative
224,2023-08-31,BAC,BAC faces regulatory scrutiny over practices,MarketWatch,Negative
225,2023-09-01,JNJ,JNJ to present at industry conference next week,Reuters,Neutral
226,2023-09-05,AAPL,Analysts upgrade AAPL on strong revenue growth,Reuters,Positive
227,2023-09-05,AMZN,AMZN announces layoffs amid cost-cutting drive,Bloomberg,Negative
228,2023-09-05,PFE,Analysts upgrade PFE on strong revenue growth,Reuters,Positive
229,2023-09-07,JNJ,Market watchers await JNJ earnings report,Bloomberg,Neutral
230,2023-09-08,JPM,JPM completes previously announced share buyback,MarketWatch,Neutral
231,2023-09-08,BAC,BAC announces layoffs amid cost-cutting drive,Bloomberg,Negative
232,2023-09-08,CVX,CVX completes previously announced share buyback,Bloomberg,Neutral
233,2023-09-12,JNJ,Analysts upgrade JNJ on strong revenue growth,Reuters,Positive
234,2023-09-12,PFE,PFE shares slide on supply chain concerns,CNBC,Negative
235,2023-09-13,AAPL,"AAPL misses earnings estimates, shares fall",MarketWatch,Negative
236,2023-09-13,GOOGL,Analysts downgrade GOOGL citing weak outlook,CNBC,Negative
237,2023-09-15,MSFT,MSFT beats quarterly earnings expectations,Financial Times,Positive
238,2023-09-18,CVX,CVX announces new product launch to strong demand,Financial Times,Positive
239,2023-09-19,AAPL,AAPL reports record profit margins this quarter,MarketWatch,Positive
240,2023-09-20,AAPL,AAPL shares rally after positive guidance,Reuters,Positive
241,2023-09-20,GOOGL,GOOGL completes previously announced share buyback,MarketWatch,Neutral
242,2023-09-21,GOOGL,GOOGL shares rally after positive guidance,MarketWatch,Positive
243,2023-09-22,XOM,XOM reports record profit margins this quarter,Financial Times,Positive
244,2023-09-22,CVX,CVX board approves routine dividend payment,Bloomberg,Neutral
245,2023-09-22,JNJ,JNJ shares rally after positive guidance,MarketWatch,Positive
246,2023-09-22,PFE,Analysts upgrade PFE on strong revenue growth,MarketWatch,Positive
247,2023-09-26,JNJ,JNJ board approves routine dividend payment,Reuters,Neutral
248,2023-09-26,PFE,PFE reports record profit margins this quarter,Bloomberg,Positive
249,2023-09-28,JPM,JPM schedules quarterly earnings call,Bloomberg,Neutral
250,2023-10-03,GOOGL,GOOGL faces regulatory scrutiny over practices,MarketWatch,Negative
251,2023-10-03,JNJ,JNJ faces regulatory scrutiny over practices,CNBC,Negative
252,2023-10-04,XOM,XOM faces regulatory scrutiny over practices,Reuters,Negative
253,2023-10-05,GOOGL,GOOGL schedules quarterly earnings call,MarketWatch,Neutral
254,2023-10-05,CVX,CVX faces regulatory scrutiny over practices,CNBC,Negative
255,2023-10-09,GOOGL,GOOGL reports record profit margins this quarter,Financial Times,Positive
256,2023-10-10,MSFT,MSFT faces regulatory scrutiny over practices,Bloomberg,Negative
257,2023-10-11,AMZN,AMZN beats quarterly earnings expectations,MarketWatch,Positive
258,2023-10-11,JNJ,JNJ reports record profit margins this quarter,MarketWatch,Positive
259,2023-10-12,AAPL,"AAPL misses earnings estimates, shares fall",CNBC,Negative
260,2023-10-12,JNJ,Analysts downgrade JNJ citing weak outlook,Reuters,Negative
261,2023-10-16,XOM,XOM schedules quarterly earnings call,Reuters,Neutral
262,2023-10-17,CVX,CVX shares slide on supply chain concerns,Reuters,Negative
263,2023-10-19,AMZN,AMZN board approves routine dividend payment,Financial Times,Neutral
264,2023-10-19,CVX,Analysts upgrade CVX on strong revenue growth,MarketWatch,Positive
265,2023-10-23,AAPL,Analysts upgrade AAPL on strong revenue growth,CNBC,Positive
266,2023-10-23,AMZN,AMZN faces regulatory scrutiny over practices,MarketWatch,Negative
267,2023-10-23,JNJ,JNJ faces regulatory scrutiny over practices,CNBC,Negative
268,2023-10-24,GOOGL,GOOGL board approves routine dividend payment,Reuters,Neutral
269,2023-10-26,BAC,BAC completes previously announced share buyback,MarketWatch,Neutral
270,2023-10-26,JNJ,JNJ shares rally after positive guidance,MarketWatch,Positive
271,2023-11-03,MSFT,"MSFT misses earnings estimates, shares fall",MarketWatch,Negative
272,2023-11-03,CVX,Analysts downgrade CVX citing weak outlook,CNBC,Negative
273,2023-11-03,PFE,Analysts downgrade PFE citing weak outlook,MarketWatch,Negative
274,2023-11-06,MSFT,MSFT announces new product launch to strong demand,Financial Times,Positive
275,2023-11-06,BAC,"BAC misses earnings estimates, shares fall",Bloomberg,Negative
276,2023-11-07,MSFT,MSFT reports record profit margins this quarter,CNBC,Positive
277,2023-11-08,GOOGL,GOOGL to present at industry conference next week,Financial Times,Neutral
278,2023-11-08,CVX,Market watchers await CVX earnings report,CNBC,Neutral
279,2023-11-09,AAPL,AAPL beats quarterly earnings expectations,Bloomberg,Positive
280,2023-11-13,XOM,Market watchers await XOM earnings report,MarketWatch,Neutral
281,2023-11-14,GOOGL,GOOGL beats quarterly earnings expectations,Bloomberg,Positive
282,2023-11-15,XOM,XOM completes previously announced share buyback,Bloomberg,Neutral
283,2023-11-16,CVX,CVX shares slide on supply chain concerns,Bloomberg,Negative
284,2023-11-22,AAPL,AAPL board approves routine dividend payment,Reuters,Neutral
285,2023-11-22,GOOGL,Market watchers await GOOGL earnings report,Reuters,Neutral
286,2023-11-22,AMZN,AMZN announces new product launch to strong demand,Financial Times,Positive
287,2023-11-22,PFE,PFE faces regulatory scrutiny over practices,Financial Times,Negative
288,2023-11-23,GOOGL,GOOGL announces new product launch to strong demand,MarketWatch,Positive
289,2023-11-23,BAC,BAC reports record profit margins this quarter,Bloomberg,Positive
290,2023-11-27,AAPL,AAPL faces regulatory scrutiny over practices,Financial Times,Negative
291,2023-11-27,GOOGL,GOOGL to present at industry conference next week,Financial Times,Neutral
292,2023-11-27,AMZN,AMZN announces new product launch to strong demand,Bloomberg,Positive
293,2023-11-30,BAC,BAC to present at industry conference next week,MarketWatch,Neutral
294,2023-12-01,PFE,PFE announces layoffs amid cost-cutting drive,Financial Times,Negative
295,2023-12-05,BAC,BAC faces regulatory scrutiny over practices,MarketWatch,Negative
296,2023-12-05,XOM,Analysts upgrade XOM on strong revenue growth,Financial Times,Positive
297,2023-12-05,CVX,CVX shares rally after positive guidance,CNBC,Positive
298,2023-12-06,AAPL,Market watchers await AAPL earnings report,CNBC,Neutral
299,2023-12-06,GOOGL,GOOGL faces regulatory scrutiny over practices,Reuters,Negative
300,2023-12-07,XOM,XOM shares slide on supply chain concerns,Bloomberg,Negative
301,2023-12-08,GOOGL,GOOGL board approves routine dividend payment,MarketWatch,Neutral
302,2023-12-11,XOM,XOM reports record profit margins this quarter,MarketWatch,Positive
303,2023-12-12,JPM,Analysts upgrade JPM on strong revenue growth,Bloomberg,Positive
304,2023-12-15,AAPL,AAPL beats quarterly earnings expectations,Bloomberg,Positive
305,2023-12-15,XOM,Market watchers await XOM earnings report,MarketWatch,Neutral
306,2023-12-18,XOM,XOM announces layoffs amid cost-cutting drive,CNBC,Negative
307,2023-12-18,JNJ,JNJ reports record profit margins this quarter,Financial Times,Positive
308,2023-12-19,JNJ,JNJ beats quarterly earnings expectations,Bloomberg,Positive
309,2023-12-20,CVX,CVX beats quarterly earnings expectations,CNBC,Positive
310,2023-12-21,MSFT,MSFT to present at industry conference next week,MarketWatch,Neutral
311,2023-12-21,XOM,"XOM misses earnings estimates, shares fall",Financial Times,Negative
312,2023-12-22,BAC,BAC reports record profit margins this quarter,Reuters,Positive
313,2023-12-25,CVX,CVX shares rally after positive guidance,MarketWatch,Positive
314,2023-12-26,AAPL,AAPL to present at industry conference next week,Bloomberg,Neutral
315,2023-12-27,MSFT,MSFT beats quarterly earnings expectations,Reuters,Positive
316,2023-12-28,JNJ,JNJ faces regulatory scrutiny over practices,Financial Times,Negative
317,2024-01-01,AAPL,AAPL shares slide on supply chain concerns,Bloomberg,Negative
